year,state,path,seats,child_seats_left,child_seats_right,equal_child_seats,unit_count,minimum_deviation_candidates,minimum_deviation_cut_candidates,minimum_deviation_cut_partitions,orientation_only_tie,physical_cut_opportunity,nrs_v0_2_fallback_activated,nrs_v0_3_fallback_activated,assignment_match,objective_match
2000,NC,000,2,1,1,true,37751,2,2,1,true,false,false,false,true,true
2000,NC,001,2,1,1,true,35148,2,2,1,true,false,false,false,true,true
2000,NC,011,2,1,1,true,31105,2,2,1,true,false,false,false,true,true
2000,NC,100,2,1,1,true,46452,2,2,1,true,false,false,false,true,true
2000,NC,110,2,1,1,true,37260,2,2,1,true,false,false,false,true,true
2000,NC,root,13,7,6,false,232403,1,1,1,false,false,false,false,true,true
2000,NE,0,2,1,1,true,111404,2,2,1,true,false,false,false,true,true
2000,NE,root,3,2,1,false,133692,1,1,1,false,false,false,false,true,true
2000,NH,root,2,1,1,true,34728,2,2,1,true,false,false,false,true,true
2000,NJ,0,7,3,4,false,85321,1,1,1,false,false,false,false,true,true
2000,NJ,1,6,3,3,true,56021,2,2,1,true,false,false,false,true,true
2000,NJ,00,3,1,2,false,43266,1,1,1,false,false,false,false,true,true
2000,NJ,01,4,2,2,true,42055,2,2,1,true,false,false,false,true,true
2000,NJ,10,3,2,1,false,23673,1,1,1,false,false,false,false,true,true
2000,NJ,11,3,2,1,false,32348,1,1,1,false,false,false,false,true,true
2000,NJ,001,2,1,1,true,31912,2,2,1,true,false,false,false,true,true
2000,NJ,010,2,1,1,true,14416,12,2,1,true,false,false,false,true,true
2000,NJ,011,2,1,1,true,27639,2,2,1,true,false,false,false,true,true
2000,NJ,100,2,1,1,true,17218,2,2,1,true,false,false,false,true,true
2000,NJ,110,2,1,1,true,22833,2,2,1,true,false,false,false,true,true
2000,NJ,root,13,7,6,false,141342,1,1,1,false,false,false,false,true,true
2000,NM,1,2,1,1,true,105061,10,2,1,true,false,false,false,true,true
2000,NM,root,3,1,2,false,137055,1,1,1,false,false,false,false,true,true
2000,NV,0,2,1,1,true,48669,2,2,1,true,false,false,false,true,true
2000,NV,root,3,2,1,false,60831,1,1,1,false,false,false,false,true,true
2000,NY,0,14,7,7,true,213102,2,2,1,true,false,false,false,true,true
2000,NY,1,15,7,8,false,85404,1,1,1,false,false,false,false,true,true
2000,NY,00,7,4,3,false,126422,1,1,1,false,false,false,false,true,true
2000,NY,01,7,4,3,false,86680,1,1,1,false,false,false,false,true,true
2000,NY,10,7,3,4,false,34102,1,1,1,false,false,false,false,true,true
2000,NY,11,8,4,4,true,51302,2,2,1,true,false,false,false,true,true
2000,NY,000,4,2,2,true,66608,2,2,1,true,false,false,false,true,true
2000,NY,001,3,2,1,false,59814,1,1,1,false,false,false,false,true,true
2000,NY,010,4,2,2,true,73027,6,2,1,true,false,false,false,true,true
2000,NY,011,3,2,1,false,13653,1,1,1,false,false,false,false,true,true
2000,NY,100,3,2,1,false,21775,2,1,1,false,false,false,false,true,true
2000,NY,101,4,2,2,true,12327,2,2,1,true,false,false,false,true,true
2000,NY,110,4,2,2,true,14799,2,2,1,true,false,false,false,true,true
2000,NY,111,4,2,2,true,36503,2,2,1,true,false,false,false,true,true
2000,NY,0000,2,1,1,true,39308,2,2,1,true,false,false,false,true,true
2000,NY,0001,2,1,1,true,27300,2,2,1,true,false,false,false,true,true
2000,NY,0010,2,1,1,true,47338,2,2,1,true,false,false,false,true,true
2000,NY,0100,2,1,1,true,33808,2,2,1,true,false,false,false,true,true
2000,NY,0101,2,1,1,true,39219,2,2,1,true,false,false,false,true,true
2000,NY,0110,2,1,1,true,11838,6,2,1,true,false,false,false,true,true
2000,NY,1000,2,1,1,true,14439,4,2,1,true,false,false,false,true,true
2000,NY,1010,2,1,1,true,4031,2,2,1,true,false,false,false,true,true
2000,NY,1011,2,1,1,true,8296,2,2,1,true,false,false,false,true,true
2000,NY,1100,2,1,1,true,5046,2,2,1,true,false,false,false,true,true
2000,NY,1101,2,1,1,true,9753,4,2,1,true,false,false,false,true,true
2000,NY,1110,2,1,1,true,12783,2,2,1,true,false,false,false,true,true
2000,NY,1111,2,1,1,true,23720,2,2,1,true,false,false,false,true,true
2000,NY,root,29,14,15,false,298506,1,1,1,false,false,false,false,true,true
2000,OH,0,9,4,5,false,153274,1,1,1,false,false,false,false,true,true
2000,OH,1,9,4,5,false,124533,1,1,1,false,false,false,false,true,true
2000,OH,00,4,2,2,true,90300,2,2,1,true,false,false,false,true,true
2000,OH,01,5,2,3,false,62974,2,1,1,false,false,false,false,true,true
2000,OH,10,4,2,2,true,38081,2,2,1,true,false,false,false,true,true
2000,OH,11,5,3,2,false,86452,1,1,1,false,false,false,false,true,true
2000,OH,000,2,1,1,true,42272,2,2,1,true,false,false,false,true,true
2000,OH,001,2,1,1,true,48028,2,2,1,true,false,false,false,true,true
2000,OH,010,2,1,1,true,31443,2,2,1,true,false,false,false,true,true
2000,OH,011,3,2,1,false,31531,3,1,1,false,false,false,false,true,true
2000,OH,100,2,1,1,true,18679,2,2,1,true,false,false,false,true,true
2000,OH,101,2,1,1,true,19402,2,2,1,true,false,false,false,true,true
2000,OH,110,3,2,1,false,57673,1,1,1,false,false,false,false,true,true
2000,OH,111,2,1,1,true,28779,2,2,1,true,false,false,false,true,true
2000,OH,0110,2,1,1,true,24661,6,2,1,true,false,false,false,true,true
2000,OH,1100,2,1,1,true,28972,2,2,1,true,false,false,false,true,true
2000,OH,root,18,9,9,true,277807,2,2,1,true,false,false,false,true,true
2000,OK,0,3,2,1,false,96667,1,1,1,false,false,false,false,true,true
2000,OK,1,2,1,1,true,79397,2,2,1,true,false,false,false,true,true
2000,OK,00,2,1,1,true,75038,2,2,1,true,false,false,false,true,true
