diagnostic_index,seed_digest_sha256,seed_u64_little_endian,engine_seed,status,exit_code,failure,discovery_sha256,assignment_sha256,assignment_offset,assignment_bytes,matched_blocks,matched_block_rate,max_population_deviation_scaled,total_population_deviation_scaled,weighted_boundary_cut,population_tolerance_pass,benchmark_assignment_reproduction
79,78b5569177c375e9c6c4f7d21b52b163ffa888b21f851269f09680eec4ac6b0b,16822566901419259256,1682062442,accepted,0,,f836bd7d4af0b59c6f1896b82f588ecc63d2bb6d4863866294c083f52e068b51,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,250146,3207,25649,1.0,1303,2606,243087025,true,true
80,44e20f067220909ba30162ee21c3550c99c8bae887a0be3f08b0abbc6994a6e1,11209495146625229380,1026564906,accepted,0,,d606b26afa56f64411a3c67eb62e197561d1ff63d0436febd2b15ad65a236561,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,253353,3207,25649,1.0,1303,2606,243087025,true,true
81,64329eff6f56e58a31fc107e1dc4776bb93bef671acb27e18a52e87405d106c2,10008500785930711652,359194438,accepted,0,,66a53528ddcecb0b051922a358e5af7e5b3fd538e280f83b73a2beeb1f872f52,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,256560,3207,25649,1.0,1303,2606,243087025,true,true
82,3b12e2b6254f7751e7ca165e9f8a9f5675753ba095e61d1a51fdf6383dbfea7f,5870247662701384251,1506848903,accepted,0,,1317a1ff5afa2c43c0562ad052ee79804e325cfc8813dcccf46cdf42415eeecd,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,259767,3207,25649,1.0,1303,2606,243087025,true,true
83,f68e99c674e4544cfaa861d87bd8a9b1b30f0d6b3bc81e7fe4cd0523c25cf9e3,5500272235125509878,1598248928,accepted,0,,ec44a405ffb3391d2818f4761cffc219c07f9e64c8aea5ae45b5526a22eb8c99,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,262974,3207,25649,1.0,1303,2606,243087025,true,true
84,2f463f1c915a63a6928393897e674b2f2271c19d0f857d5fe712447f4cff841a,11989526212281058863,1761999699,accepted,0,,8277b44246a267af379c831ed00ec2f759001d6da5b5dc7678a8edb569a12068,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,266181,3207,25649,1.0,1303,2606,243087025,true,true
85,f0ab0ac3024e03cb89c7593c230cb54aceae9c97c316f8fe43750d7b007924f6,14628621788398660592,1494304760,accepted,0,,614f0e9f9144f3021a8aef8f1002cfc0485562e5b15d73418630377e97b7f08f,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,269388,3207,25649,1.0,1303,2606,243087025,true,true
86,b1a10f6cccde1e81c899fe5d6d9e56e378604fc33b258d6b46d4e5281ff63736,9304118849761681841,1850564427,accepted,0,,db112246d7223ef299c7d978a40252bfae5504419376a73e9bbc8d17913af5fd,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,272595,3207,25649,1.0,1303,2606,243087025,true,true
87,165f9859a5fc488a5bec0f0d3d85549b2c26da9c8f0d82318fe535f87168b3f6,9964491962660183830,1848268898,accepted,0,,05c218b60e7642213b0d5eca0c45662c3b65c87ae56f7d9b6814eb3b7605b7e1,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,275802,3207,25649,1.0,1303,2606,243087025,true,true
88,53067739db9cca6854750ca191e83db6840e3577c26c00449cdf2aa0d0d05a5a,7551020190615930451,185352203,accepted,0,,971207f39e9daf44f4c7eaf609b0b92d93d5e3b12f352b60ed446a792c2143fe,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,279009,3207,25649,1.0,1303,2606,243087025,true,true
89,d1c332e2a61a47592a1860198188a7f16e0c3243e614884180b7103830f5cab2,6433139896783913937,348191008,accepted,0,,3a5496d187d6921b8defa019d5b60e701a166086dbb43cd4e354598936f517c8,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,282216,3207,25649,1.0,1303,2606,243087025,true,true
90,5e78eee0b985732b18bf612879deff1c000468e92c8f71b8869c5535cb75612a,3130993199341795422,936739794,accepted,0,,eaf73863cd15724ab85fe58cbbd31f3ab2a42e23622c69bb6485bf6aa4e9f015,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,285423,3207,25649,1.0,1303,2606,243087025,true,true
91,e6ee4b1610793d184817b7104a5a2c34f0817386e71e102176447acc77f0cb90,1746685340490133222,1187438854,accepted,0,,4ccbbbedd2f188717f490aae14c0d61ad3e7434f16cad1f1086adbb15ebf2341,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,288630,3207,25649,1.0,1303,2606,243087025,true,true
92,0ad31e8e53fe1a99bae435a641c0c4746efdd6e1b00a6f02b18e883d42db67e8,11032409872017576714,1079300019,accepted,0,,6c3106b89225c927547530b48477afeb4d5179848a84d7401db96ed2433fd342,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,291837,3207,25649,1.0,1303,2606,243087025,true,true
93,81c1af9d16c8f4a656456c9751656f5403d49179c53c6f5e7054d1fce40ffdaa,12030460504073814401,1805210032,accepted,0,,239ed124825607ca0032d440487978fa691175b89dfe865fcf801a26077bb62b,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,295044,3207,25649,1.0,1303,2606,243087025,true,true
94,3b469bada559cbb0d59602e5a52437bf5a7b0581ec1c498370183c5bfe0ac138,12739374539064690235,254933385,accepted,0,,acb9460cbb20d8da80b00b05fa1f62dcb66bd4a0b2152a43ae51ee9b49d9fa5a,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,298251,3207,25649,1.0,1303,2606,243087025,true,true
95,37770ea0a5e74b53223d729451c7148bc94ea7100fa603029a2490fb5047091d,6002145626942240567,1185302147,accepted,0,,a304464ec10651375aae0d12112d5a2d09e37cd5091c8aaceb664b6963e2d521,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,301458,3207,25649,1.0,1303,2606,243087025,true,true
96,f0e4756f953c5a30f3609e8283e7c76e8edfe033d29cac564fee2f525edc8c9a,3484163874242290928,1344953883,accepted,0,,ccc2382949a0de1cbf4ddbe7410843e055d35d668f2579a47bc420396bf88938,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,304665,3207,25649,1.0,1303,2606,243087025,true,true
97,d5b760ed1b1b83e94306ef166de9c9153e83e209e1db3c915018e76087092fb5,16826322439546910677,1080487440,accepted,0,,6d0fad2aa08c1663963d5cf9d25e63788d12dce0341eb71a84322a66434312a2,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,307872,3207,25649,1.0,1303,2606,243087025,true,true
98,af1d00024dc822bd9c7773fe42d4048d1abd14714b3dd1ce14225c5e7615629d,13628675655448141231,2084941387,accepted,0,,d0b8074de8ad4afaa1c7e6fcc7d09c745a61135fca3b4bf9a9f3e66d5bdc3474,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,311079,3207,25649,1.0,1303,2606,243087025,true,true
99,e271909798898a8f0cc0cb11545d7f98413fd387bfe4b909d04fdd4b9222502d,10343230782680625634,916817173,accepted,0,,8c4f1a172946e77a599d70b1ab8015afc313b29ab2f8c2b455156594da812d30,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,314286,3207,25649,1.0,1303,2606,243087025,true,true
100,8e5a92d9765f2dce469ba14379f4eaad9e947776a6caf3f9a63984d5ee6bddeb,14856635709826161294,1978472830,accepted,0,,6dcb1a14217b00fa009cfef13b563ecc635e1937742b50ce11c140d858840cba,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,317493,3207,25649,1.0,1303,2606,243087025,true,true
