state,structure,status,requested_seed,final_seed,seed_retried,partition_mode,audit_result,audit_population_pass,manifest_population_balance_valid,native_manifest_consistent,units,districts,edge_cut,edge_cut_ratio_to_standard,canonical_assignment_sha256
AZ,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,1765,9,2003309.51881,0.856479251329,012f44df9f154a3d0da57a77224ca30a58edb14322354bebaeaafc649aa1c9aa
AZ,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,1765,9,2411454.29878,1.030974271844,faad3ebce80e2a39c16db48d26f97206a1ba07daf88186b79e3de0a7247c65c6
AZ,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,1765,9,2125757.74149,0.908829804802,d4186e3fe06cd30928abea352b4c1495c7224d537988f85cdfc80c0c31f6ef6a
CA,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,9129,52,8764596.60532,1.0,8d1eb41cc40a7ac7516f10954531c1a8b20615e4aa7100f524516b9c4a09e519
CA,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,9129,52,8132678.36594,0.927901046924,e63859e620c68af8c536e0354ffdaf7c2857fc2e3e7cd9778d8d73473fa74e8d
CA,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,9129,52,7971960.76785,0.909563911134,4eeb67fdd34118c9e408c04f98c792bcc38404dc8c80b3905da53b6a20e3fbc2
CA,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,9129,52,8431517.31672,0.961997191246,0b1469b2432c899e6f7550ff82d30b3687b032045a735517b8cda30744f5988e
HI,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,461,2,87349.48374,1.0,ff36ea56164a687458a76e1997695d8a6b59841093dda2673981b61da11bd3ab
HI,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,461,2,87349.48374,1.0,ff36ea56164a687458a76e1997695d8a6b59841093dda2673981b61da11bd3ab
HI,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,461,2,87349.48374,1.0,ff36ea56164a687458a76e1997695d8a6b59841093dda2673981b61da11bd3ab
HI,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,461,2,87349.48374,1.0,ff36ea56164a687458a76e1997695d8a6b59841093dda2673981b61da11bd3ab
ID,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,456,2,527531.1163,1.0,faac6c622f33b8c03bc0c78458b956804ab0f202be9c2263233c4bc687903889
ID,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,456,2,527531.1163,1.0,faac6c622f33b8c03bc0c78458b956804ab0f202be9c2263233c4bc687903889
ID,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,456,2,527531.1163,1.0,faac6c622f33b8c03bc0c78458b956804ab0f202be9c2263233c4bc687903889
ID,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,456,2,523395.43072,0.992160300213,85907e22f3dd0681a46c23d419c9c60bcf238f428c9b0577dfa693f1a5cb5b6e
ME,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,407,2,279472.42004,1.0,4b439d42300389955fae23f944ff3cedc05185452350ab8709687b49e1fcd563
ME,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,407,2,279472.42004,1.0,4b439d42300389955fae23f944ff3cedc05185452350ab8709687b49e1fcd563
ME,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,407,2,279472.42004,1.0,4b439d42300389955fae23f944ff3cedc05185452350ab8709687b49e1fcd563
ME,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,407,2,243440.2168,0.871070629313,dc4acfb82f517e3dc65ad6ce0bcc235ae8b6cd56e22ec6cbcf173a8cd82787bb
MT,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,319,2,733009.26722,1.0,ec2bf0e519a9ef5c14aa848b695c146689c2b0a073c13c306cea6bf224d8b5b9
MT,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,319,2,733009.26722,1.0,ec2bf0e519a9ef5c14aa848b695c146689c2b0a073c13c306cea6bf224d8b5b9
MT,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,319,2,733009.26722,1.0,ec2bf0e519a9ef5c14aa848b695c146689c2b0a073c13c306cea6bf224d8b5b9
MT,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,319,2,733009.26722,1.0,ec2bf0e519a9ef5c14aa848b695c146689c2b0a073c13c306cea6bf224d8b5b9
NH,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,350,2,224591.48316,1.0,fc575929f71024a3b32cb71ef0faf82581d0358fc2aa92dbd80ed837d5c4d473
NH,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,350,2,224591.48316,1.0,fc575929f71024a3b32cb71ef0faf82581d0358fc2aa92dbd80ed837d5c4d473
NH,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,350,2,224591.48316,1.0,fc575929f71024a3b32cb71ef0faf82581d0358fc2aa92dbd80ed837d5c4d473
NH,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,350,2,139988.16813,0.62330132096,d40b197c6f621f6300cecd1a4e8725c655867a86ac26e88b1a31e83d76d9abd0
WV,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,546,2,349089.3233,1.0,66a722638f689590546dddc8bc6f142f785b22384038d021fc815c2bbe2eb4c8
WV,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,546,2,349089.3233,1.0,66a722638f689590546dddc8bc6f142f785b22384038d021fc815c2bbe2eb4c8
WV,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,546,2,349089.3233,1.0,66a722638f689590546dddc8bc6f142f785b22384038d021fc815c2bbe2eb4c8
WV,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,546,2,343065.47746,0.982744113217,f529a02a05fb6532303ea76f698f9a3dcfe4c52833c04c29bbfe00897328dc8f
NM,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,612,3,978902.1835,1.0,cb8e8f365e6cd4826ae05dccf8446f1fd36be141b9f07552315d11aa5b60b8e6
NM,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,612,3,978902.1835,1.0,cb8e8f365e6cd4826ae05dccf8446f1fd36be141b9f07552315d11aa5b60b8e6
NM,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,612,3,1193327.22147,1.219046439557,5f26e6cedfd9f32fd892253d453a876f720296a852c4934061432362367c216b
NM,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,612,3,1011022.72121,1.032812816491,0c4f36183447e6829cf4da902383e3451c6e31bb969581f33327d20d10d29bd6
AR,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,823,4,1152712.88561,1.0,60274d0075634fba8247f1df90f306300f33dc3e0b559b70982e1aa6067a88f6
AR,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,823,4,1202592.42195,1.043271431215,3aec06ba60079cd01d47b5cecab8c37ac429314e00b56516d1a6713399ceb918
AR,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,823,4,1299001.52033,1.126908128248,c5658eaaf6641ce28bf0de14c0255635758ed666c93f9c19d8c5f3162e1b8009
AR,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,823,4,1175954.60134,1.020162623339,af505c80b6c77c0526764783bbb222a95e7fee131cae4549b96878d1ed6988c5
IA,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,896,4,1103081.21362,1.0,d6776f13f66d8ed0d54538e0aa1da15e3165d50703e143ec2ca3e2f5ed1d52cd
