state,left,right,matched_units,different_units,matched_unit_rate
TN,ratio-optimal-area,prime-factor,1447,254,0.8506760728982952
WA,standard-bisect,ratio-optimal,1226,558,0.6872197309417041
WA,standard-bisect,ratio-optimal-area,1303,481,0.7303811659192825
WA,standard-bisect,prime-factor,1347,437,0.7550448430493274
WA,ratio-optimal,ratio-optimal-area,1136,648,0.6367713004484304
WA,ratio-optimal,prime-factor,1145,639,0.6418161434977578
WA,ratio-optimal-area,prime-factor,1220,564,0.6838565022421524
VA,standard-bisect,ratio-optimal,1389,809,0.6319381255686988
VA,standard-bisect,ratio-optimal-area,1543,655,0.7020018198362148
VA,standard-bisect,prime-factor,1575,623,0.7165605095541401
VA,ratio-optimal,ratio-optimal-area,1703,495,0.7747952684258417
VA,ratio-optimal,prime-factor,1352,846,0.6151046405823476
VA,ratio-optimal-area,prime-factor,1378,820,0.626933575978162
NJ,standard-bisect,ratio-optimal,1441,740,0.6607060981201284
NJ,standard-bisect,ratio-optimal-area,1648,533,0.7556166895919303
NJ,standard-bisect,prime-factor,1283,898,0.5882622650160477
NJ,ratio-optimal,ratio-optimal-area,1706,475,0.7822099954149473
NJ,ratio-optimal,prime-factor,1467,714,0.672627235213205
NJ,ratio-optimal-area,prime-factor,1536,645,0.7042640990371389
MI,standard-bisect,ratio-optimal,1598,1419,0.5296652303612861
MI,standard-bisect,ratio-optimal-area,1662,1355,0.5508783559827644
MI,standard-bisect,prime-factor,1691,1326,0.5604905535299967
MI,ratio-optimal,ratio-optimal-area,1888,1129,0.6257872058336096
MI,ratio-optimal,prime-factor,1741,1276,0.5770633079217766
MI,ratio-optimal-area,prime-factor,1652,1365,0.5475638051044084
GA,standard-bisect,ratio-optimal,1581,1215,0.5654506437768241
GA,standard-bisect,ratio-optimal-area,1683,1113,0.601931330472103
GA,standard-bisect,prime-factor,1425,1371,0.509656652360515
GA,ratio-optimal,ratio-optimal-area,1517,1279,0.5425608011444921
GA,ratio-optimal,prime-factor,1828,968,0.65379113018598
GA,ratio-optimal-area,prime-factor,1493,1303,0.5339771101573677
NC,standard-bisect,ratio-optimal,1731,941,0.6478293413173652
NC,standard-bisect,ratio-optimal-area,1890,782,0.7073353293413174
NC,standard-bisect,prime-factor,1728,944,0.6467065868263473
NC,ratio-optimal,ratio-optimal-area,1622,1050,0.6070359281437125
NC,ratio-optimal,prime-factor,1615,1057,0.6044161676646707
NC,ratio-optimal-area,prime-factor,1744,928,0.6526946107784432
