state,plan_family,district,block_count,area_m2,perimeter_m,minimum_bounding_radius_m,polsby_popper,reock,convex_hull_ratio,schwartzberg,component_count,interior_ring_count
CA,NRS-v0.3,41,7644,1399852302.5977018,630093.7285964203,42633.3900277765,0.04430796111759093,0.24515040142550093,0.6352998773783933,4.750716526897464,1,8
CA,NRS-v0.3,42,6047,577876990.8626958,374624.9938996079,24785.29336590578,0.051743019527638046,0.299431442522096,0.5965393726777422,4.396166328459493,1,10
CA,NRS-v0.3,43,6495,1682516537.5425012,649858.6045013246,41782.17192806904,0.0500646815891717,0.30678028411763014,0.6460039796645695,4.469246109888519,1,4
CA,NRS-v0.3,44,6109,633219637.4938358,621012.6477305641,38262.78647653715,0.020633046091876103,0.13767380441479152,0.3744742507874458,6.9617484344570615,2,14
CA,NRS-v0.3,45,6919,340745920.2387616,378778.4302998322,17157.669685789715,0.029844894556012854,0.3684378053372885,0.5408115301137404,5.788485844513066,3,9
CA,NRS-v0.3,46,6192,2531172115.722404,765507.9427702529,52313.5056214171,0.05427903764215021,0.2944043055535734,0.7579222208785918,4.292239337491519,5,12
CA,NRS-v0.3,47,6159,151483993.44494018,246620.74406260386,19575.79214172719,0.031298058802488954,0.12582825763535732,0.47500564508515053,5.65250947390636,1,6
CA,NRS-v0.3,48,7037,184076568.7684441,330763.9040398415,22159.718656555502,0.021143270000352033,0.1193218981047911,0.40729760124315156,6.877235908338576,7,9
CA,NRS-v0.3,49,6826,236963329.60845384,317437.4952482557,22384.97233626159,0.029551161830959804,0.1505282965039086,0.41875874553283654,5.817182914325622,3,9
CA,NRS-v0.3,50,7451,250501732.57466602,360578.195153462,15661.248630685617,0.0242114989011007,0.325093355186757,0.6020296793131262,6.426716783428218,5,20
CA,NRS-v0.3,51,7599,672840649.2967725,664592.1815444252,61325.23628351596,0.019143071861641273,0.056948709638859694,0.12879490272159252,7.227601264054827,17,5
CA,NRS-v0.3,52,7531,1056631887.8166499,562195.5946099964,45949.031988577,0.04201058225328026,0.15930195561555385,0.5455019546139217,4.878885765300104,18,6
CA,enacted-congressional-session-118,1,31231,69422262471.96205,6818025.0045997,212590.04627487223,0.01876685281728084,0.48894840932978445,0.7697270737304422,7.299687628840883,12,537
CA,enacted-congressional-session-118,2,21221,33907222660.057247,3733370.657760997,245028.98190901845,0.030570311393204055,0.17976595008972454,0.5869466410743591,5.719394701911758,502,200
CA,enacted-congressional-session-118,3,20395,56455650409.80882,3920183.143348049,363156.11609802843,0.046164120438592006,0.13626076316411143,0.5366485506063647,4.654228672317744,1,203
CA,enacted-congressional-session-118,4,12689,9952127498.957205,2006930.880787467,98454.1287079305,0.031049954219655316,0.3268121486281324,0.6690351836845483,5.675047722058913,10,107
CA,enacted-congressional-session-118,5,16324,25660320874.119602,3054646.858490731,166842.14540278542,0.034558105621327766,0.2934274088813475,0.7417788810900526,5.379290969178884,1,199
CA,enacted-congressional-session-118,6,8079,652238369.44296,252359.87472316687,25415.6031070189,0.12869912710859574,0.3214072220350605,0.8359448531180279,2.7874828195804287,1,8
CA,enacted-congressional-session-118,7,9524,1801221622.272798,813994.65360558,44601.599020000795,0.03416126236853393,0.2882148947321016,0.6301955273782847,5.41044572241507,10,31
CA,enacted-congressional-session-118,8,9239,1346049391.3566222,903913.1386612703,34031.598776592306,0.020702245858186738,0.36995288510937124,0.5782505476957847,6.950103451096166,6,49
CA,enacted-congressional-session-118,9,10541,3549752968.4837813,1245267.0913648414,45622.569042573254,0.02876623160351544,0.5428611772399651,0.803946686117494,5.896014102556233,7,62
CA,enacted-congressional-session-118,10,6935,1423043557.1010482,458058.55938977195,31236.134104878456,0.0852287367852475,0.46425197851101313,0.7289793115340316,3.42536593348909,3,13
