state,projection,retained_blocks,districts,nrs_polsby_popper,comparator_polsby_popper,nrs_reock,comparator_reock,nrs_convex_hull_ratio,comparator_convex_hull_ratio,nrs_schwartzberg,comparator_schwartzberg
LA,EPSG:5070,134965,6,0.005021293317327029,0.006797854032355491,0.1883329490813612,0.313933227598203,0.42638534600502903,0.5443524802536185,15.707369081549716,13.133653282017436
MA,EPSG:5070,102527,9,0.01148360364335644,0.021064484751368698,0.19420462367770774,0.3229673441386731,0.45977325811166303,0.5992772988931973,9.752377107100903,7.539873671295628
MD,EPSG:5070,79629,8,0.016814690310279504,0.05172015950677756,0.22553713848660947,0.3034438356957201,0.453132984706026,0.6553579594675555,10.46599811449454,7.173804266121777
ME,EPSG:5070,43179,2,0.006521845945193583,0.005567534594248169,0.3015500202353554,0.3580099498882143,0.695539238190501,0.6218605105105529,12.748655645552923,13.404701089969468
MI,EPSG:5070,244398,13,0.012896629010297285,0.065540137328772,0.1470384282206637,0.4005491908493648,0.47513727840253916,0.7491043624357737,9.48536029664178,5.901392894668447
MN,EPSG:5070,190280,8,0.018534095634757896,0.04288527695739141,0.2874755087943458,0.4028158962979848,0.6516935015367143,0.7401772600244141,8.4909511077248,6.678237545520253
MO,EPSG:5070,245402,8,0.014153137615204757,0.05374222380901586,0.2503413151808872,0.4493524233479114,0.5661209785103927,0.7776691820159762,9.734000602065256,6.5481570652203365
MS,EPSG:5070,109351,4,0.018447400330313644,0.04180305715848703,0.2793175737899629,0.40617054819509996,0.5991682068474855,0.7716972722952582,7.710681156702326,6.0397868508538135
MT,EPSG:5070,85584,2,0.035446203217246716,0.04293806562160453,0.4091554034071315,0.458518516687476,0.8715508354349013,0.8214153026161721,5.658224195558773,5.391222563443026
NC,EPSG:5070,229625,14,0.01973517044328269,0.045246376499755776,0.20579788909653277,0.4472191270773176,0.5537588124262649,0.7714992301584693,8.466738526084939,5.778505193013082
ND,EPSG:5070,82443,1,0.02517408940127021,0.02517408940127021,0.5279396147438482,0.5279396147438482,0.9725321834001046,0.9725321834001046,6.302648903444548,6.302648903444548
NE,EPSG:5070,118223,3,0.05580913143117091,0.10768294883856055,0.27986459005715064,0.41576213842685306,0.5965448779203083,0.8055934924308588,4.781059271616592,3.356367504720737
NH,EPSG:5070,30498,2,0.021040989945001407,0.01792433327802462,0.3336973944371461,0.24454426787168027,0.6989284294138225,0.6419932474715677,7.364439659579098,7.504925976321804
NJ,EPSG:5070,133007,12,0.017275502838624446,0.03507200715790926,0.26613771099313893,0.36152007049922824,0.5442086891809833,0.629027473820896,8.296998036360959,6.282557518285404
NM,EPSG:5070,105847,3,0.06811147738394098,0.12463349209481824,0.3585555473946233,0.40058375660136547,0.7369388348112397,0.7282664464230734,4.082517905163226,2.9288459186768043
NV,EPSG:5070,57060,4,0.1162382972163312,0.3087763321573894,0.39795369729691854,0.4399453547289976,0.7417093280293723,0.8521355080114594,2.9973069624065922,1.8382383575224837
NY,EPSG:5070,281159,26,0.03628943815014178,0.08802677269405036,0.24377351834945943,0.36819485214948816,0.5402909323941583,0.6932410124022496,6.412447577868666,4.4007454143374325
OH,EPSG:5070,270293,15,0.023501078448700922,0.06364981824385392,0.25243568459899113,0.3866669082225926,0.5689565581869387,0.7371908926748837,7.069680293991589,4.542753012099571
OK,EPSG:5070,175160,5,0.014875303632565104,0.04720861046266424,0.22676030258939517,0.41886242612185454,0.6487523149791986,0.7392984120216145,9.017883646590336,6.258030704680117
OR,EPSG:5070,128036,6,0.0300219765974413,0.07869499464573489,0.21543749944421417,0.4232988574290954,0.5776993282802197,0.7513582635065598,6.210959217863887,4.067854485498289
PA,EPSG:5070,329888,17,0.02128141718339299,0.05344709285276654,0.2332792873098722,0.4531536398957144,0.5670716983752381,0.7700402971801923,7.588978409552734,4.663733201960789
RI,EPSG:5070,24831,2,0.01395026023994229,0.019738826236004894,0.29621224044804373,0.22846427617509824,0.5300278284493725,0.5685699532198328,8.498963187129922,7.458617275773246
SC,EPSG:5070,142433,7,0.015410506264320292,0.02723887175708774,0.2583040291911926,0.3750979861793115,0.6050741499271476,0.7258569522871502,8.741553286651222,7.32185073994792
SD,EPSG:5070,69859,1,0.03555624516201371,0.03555624516201371,0.4909878725031802,0.4909878725031802,0.9215241981245877,0.9215241981245877,5.303249430405491,5.303249430405491
TN,EPSG:5070,176552,9,0.019100739990986652,0.042866417714311586,0.17113493412526967,0.36086458971257396,0.5764786033493954,0.7034232871242031,8.064333577828819,5.45957474552126
TX,EPSG:5070,655121,38,0.02229456399115443,0.05598941190798034,0.21749614373961346,0.32691255701017324,0.5301827933886649,0.6458695883850981,7.668768694143757,5.170219509558282
UT,EPSG:5070,70883,4,0.05062739018707442,0.17564480578773461,0.3276223736783029,0.4303844045693854,0.5834935800001976,0.769623471360158,4.587970191947042,2.411097430726736
VA,EPSG:5070,155892,11,0.009945892128698992,0.02320196357684914,0.21527844414261058,0.3541506699388008,0.519037258063415,0.6969743842147322,11.228109507356955,8.527692979845936
VT,EPSG:5070,22856,1,0.010515922379958968,0.010515922379958968,0.3656870631454943,0.3656870631454943,0.8110384152771293,0.8110384152771293,9.751609776267403,9.751609776267403
WA,EPSG:5070,149816,10,0.018224920735436974,0.04118924065694397,0.2740758990588152,0.369835836639603,0.5324136475534276,0.7102822723356683,7.733231695077033,5.394802702023782
WI,EPSG:5070,193379,8,0.014682789811869552,0.03434335531396745,0.24412060917969683,0.45286271362932146,0.5719646959764391,0.749135623974377,10.141965523243606,7.808716190579747
WV,EPSG:5070,69008,2,0.009197636833058308,0.01179819809296429,0.290383947191074,0.3699870037533203,0.6080863189618707,0.6449930759554774,10.43330602927328,9.412978158726016
WY,EPSG:5070,52881,1,0.07827726319902684,0.07827726319902684,0.6164692811046533,0.6164692811046533,0.9899631967970755,0.9899631967970755,3.5742274302902595,3.5742274302902595
